"Taxa","Prevalence","iGLM","hGLM","chGLM","GAM","SVM","BCT","RF","ANN"
"Simuliidae",0.92,0.49,0.49,0.49,0.47,0.52,0.43,0.14,0.5
"Oligochaeta",0.87,0.72,0.73,0.73,0.68,0.68,0.6,0.19,0.71
"Limoniidae",0.86,0.76,0.77,0.76,0.73,0.77,0.7,0.21,0.76
"Limnephilidae",0.82,0.87,0.88,0.88,0.83,0.83,0.74,0.26,0.87
"Rhyacophilidae",0.81,0.88,0.89,0.89,0.85,0.85,0.81,0.26,0.92
"Elmidae",0.77,0.7,0.7,0.7,0.65,0.66,0.62,0.18,0.71
"Gammaridae",0.74,0.63,0.63,0.63,0.55,0.57,0.49,0.14,0.63
"Heptageniidae",0.72,0.97,0.97,0.97,0.93,0.89,0.82,0.25,0.97
"Nemouridae",0.71,0.83,0.84,0.84,0.79,0.82,0.69,0.24,0.84
"Empididae",0.69,1.22,1.23,1.23,1.18,1.16,1.09,0.38,1.23
"Hydropsychidae",0.69,0.91,0.92,0.91,0.85,0.85,0.79,0.23,0.95
"Leuctridae",0.68,0.88,0.88,0.89,0.84,0.85,0.74,0.22,0.89
"Ceratopogonidae",0.59,1.2,1.2,1.2,1.16,1.11,1.07,0.38,1.19
"Prostigmata",0.54,1.27,1.27,1.27,1.23,1.17,1.17,0.41,1.27
"Psychodidae",0.51,1.33,1.33,1.34,1.29,1.22,1.21,0.44,1.32
"Leptophlebiidae",0.45,1.16,1.16,1.17,1.12,1.05,1.05,0.31,1.17
"Sphaeriidae",0.43,1.05,1.05,1.05,1.01,0.98,0.93,0.31,1.04
"Taeniopterygidae",0.44,1.14,1.15,1.15,1.08,1,0.97,0.3,1.18
"Perlodidae",0.44,1.04,1.04,1.04,0.99,NA,0.92,0.28,1.04
"Athericidae",0.36,1.1,1.1,1.1,1.04,1.04,0.97,0.3,1.11
"Psychomyiidae",0.34,1.11,1.11,1.11,1.05,1.05,0.98,0.31,1.11
"Nematoda",0.33,1.24,1.24,1.24,1.21,1.17,1.14,0.41,1.24
"Hydraenidae",0.32,1.11,1.11,1.11,1.06,1.06,0.99,0.34,1.09
"Planariidae",0.32,1.17,1.18,1.18,1.13,1.1,1.01,0.34,1.21
"Sericostomatidae",0.28,1.09,1.09,1.09,1.04,1.03,0.95,0.29,1.08
"Tipulidae",0.27,1.14,1.15,1.15,1.13,1.11,1.1,0.4,1.16
"Polycentropodidae",0.26,1.09,1.09,1.09,1.02,0.99,0.93,0.29,1.09
"Odontoceridae",0.25,1.01,1.02,1.02,0.95,0.99,0.88,0.27,1.01
"Dugesiidae",0.22,0.99,1,1,0.96,0.96,0.88,0.27,1
"Lymnaeidae",0.22,0.94,0.94,0.94,0.9,0.94,0.84,0.27,0.94
"Erpobdellidae",0.21,0.79,0.79,0.79,0.76,0.78,0.7,0.21,0.78
"Scirtidae",0.2,0.87,0.87,0.87,0.84,0.88,0.82,0.24,0.88
"Ephemerellidae",0.2,0.81,0.81,0.81,0.76,0.71,0.69,0.19,0.85
"Asellidae",0.19,0.74,0.74,0.74,0.71,0.75,0.66,0.2,0.73
"Ephemeridae",0.18,0.81,0.81,0.82,0.76,0.78,0.7,0.19,0.8
"Chloroperlidae",0.18,0.72,0.73,0.73,0.68,0.79,0.62,0.2,0.75
"Dytiscidae",0.16,0.86,0.86,0.86,0.81,0.81,0.76,0.23,0.87
"Stratiomyidae",0.17,0.87,0.87,0.87,0.83,0.87,0.78,0.28,0.87
"Hydroptilidae",0.16,0.74,0.74,0.74,0.72,0.78,0.67,0.22,0.75
"Hydrobiidae",0.14,0.61,0.62,0.62,0.58,0.69,0.55,0.17,0.62
"Perlidae",0.14,0.61,0.62,0.62,0.56,0.55,0.51,0.16,0.62
"Planorbidae",0.13,0.62,0.63,0.63,0.6,0.66,0.59,0.17,0.64
"Glossosomatidae",0.12,0.62,0.62,0.62,0.59,0.62,0.54,0.16,0.64
"Blephariceridae",0.12,0.44,0.44,0.44,0.41,0.53,0.43,0.15,0.46
"Glossiphoniidae",0.11,0.57,0.57,0.58,0.54,0.62,0.49,0.16,0.59
"Capniidae",0.1,0.47,0.47,0.47,0.41,0.44,0.37,0.11,0.47
"Goeridae",0.09,0.57,0.57,0.57,0.55,0.56,0.49,0.14,0.6
"Philopotamidae",0.09,0.44,0.45,0.45,0.42,0.5,0.4,0.12,0.46
"Dixidae",0.09,0.45,0.46,0.46,0.42,0.52,0.37,0.15,0.47
"Gyrinidae",0.08,0.45,0.45,0.45,0.42,0.46,0.37,0.11,0.47
"Caenidae",0.08,0.42,0.42,0.42,0.38,0.36,0.34,0.09,0.44
"Leptoceridae",0.08,0.41,0.42,0.42,0.39,0.4,0.35,0.1,0.43
"Calopterygidae",0.08,0.44,0.45,0.45,0.42,0.48,0.38,0.12,0.44
"Tabanidae",0.07,0.49,0.5,0.49,0.46,0.48,0.46,0.13,0.5
"Pediciidae",0.07,0.45,0.45,0.45,0.39,0.37,0.36,0.09,0.47
"Cordulegastridae",0.07,0.42,0.42,0.42,0.4,0.44,0.39,0.11,0.44
"Anthomyiidae",0.07,0.47,0.47,0.47,0.45,0.46,0.47,0.13,0.48
"Lepidostomatidae",0.06,0.37,0.38,0.38,0.33,0.35,0.32,0.08,0.38
"Physidae",0.06,0.36,0.37,0.37,0.34,0.41,0.36,0.09,0.38
"Sialidae",0.05,0.37,0.38,0.38,0.36,0.38,0.37,0.09,0.4
